business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,RestaurantsDelivery,OutdoorSeating,BusinessAcceptsCreditCards,BusinessParking,BikeParking,RestaurantsPriceRange2,RestaurantsTakeOut,ByAppointmentOnly,Caters,RestaurantsAttire,RestaurantsReservations,Ambience,GoodForKids,CoatCheck,DogsAllowed,RestaurantsTableService,RestaurantsGoodForGroups,WheelchairAccessible,HasTV,HappyHour,DriveThru,NoiseLevel,GoodForMeal,BusinessAcceptsBitcoin,Smoking,GoodForDancing,BestNights,BYOB,Corkage,BYOBCorkage,RestaurantsCounterService,Open24Hours,AgesAllowed,DietaryRestrictions,HairSpecializesIn,WiFi_clean,Alcohol_clean,Meals_type,Alcohol_type,background_music,no_music,jukebox,live,video,karaoke,major_cuisine,trendy,romantic,intimate,touristy,hipster,divey,classy,upscale,casual,dessert,latenight,lunch,dinner,brunch,breakfast,WiFi_paid
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106,39.953949,-75.1432262,4.0,245,1,"Sushi Bars, Restaurants, Japanese","{'Tuesday': '13:30-22:0', 'Wednesday': '13:30-22:0', 'Thursday': '13:30-22:0', 'Friday': '13:30-23:0', 'Saturday': '13:30-23:0', 'Sunday': '13:30-22:0'}",True,True,True,"{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': None}",Unknown,$11-$30 per person,True,Unknown,Unknown,'casual',True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",False,,False,True,True,True,False,True,Unknown,average,"{'dessert': True, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",Unknown,,,{},,,,,Unknown,,,,True,True,"{'dessert': True, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",full_bar,,,,,,,East Asian,False,,False,False,False,False,False,False,False,True,Unknown,Unknown,True,Unknown,Unknown,False
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106,39.953949,-75.1432262,4.0,245,1,"Sushi Bars, Restaurants, Japanese","{'Tuesday': '13:30-22:0', 'Wednesday': '13:30-22:0', 'Thursday': '13:30-22:0', 'Friday': '13:30-23:0', 'Saturday': '13:30-23:0', 'Sunday': '13:30-22:0'}",True,True,True,"{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': None}",Unknown,$11-$30 per person,True,Unknown,Unknown,'casual',True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",False,,False,True,True,True,False,True,Unknown,average,"{'dessert': True, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",Unknown,,,{},,,,,Unknown,,,,True,True,"{'dessert': True, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",full_bar,,,,,,,East Asian,False,,False,False,False,False,False,False,False,True,Unknown,Unknown,True,Unknown,Unknown,False
QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,Philadelphia,PA,19147,39.9398245705,-75.1574465632,4.0,65,0,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants","{'Monday': '16:0-0:0', 'Tuesday': '16:0-0:0', 'Wednesday': '16:0-0:0', 'Thursday': '12:0-0:0', 'Friday': '12:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-0:0'}",True,False,True,"{'garage': None, 'street': True, 'validated': None, 'lot': False, 'valet': False}",True,$11-$30 per person,True,Unknown,False,'casual',False,"{'touristy': False, 'hipster': True, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': None, 'casual': True}",False,,Unknown,True,True,,True,True,Unknown,average,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}",Unknown,u'no',False,{},,,,,Unknown,,,,True,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}",full_bar,False,False,False,False,False,False,Italian,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,116 N Pottstown Pike,Exton,PA,19341,40.029962,-75.630607,2.5,20,0,"Restaurants, Burgers",,False,True,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",Unknown,$11-$30 per person,True,Unknown,Unknown,u'casual',Unknown,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,,Unknown,Unknown,True,,True,True,Unknown,average,,Unknown,,,{},,,,,Unknown,,,,True,True,{},full_bar,,,,,,,American,False,False,False,False,False,False,False,False,False,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,110 S MacDade Blvd,Glenolden,PA,19036,39.9036968861,-75.2949812448,4.5,25,1,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife, Steakhouses, Salad, Beer Bar","{'Monday': '0:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-1:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-23:0'}",True,Unknown,True,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,Unknown,True,Unknown,True,,False,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",Unknown,False,Unknown,True,Unknown,True,True,True,Unknown,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",Unknown,u'no',,{},False,,,,Unknown,,,,True,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",full_bar,False,False,False,True,False,False,American,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,Philadelphia,PA,19104,39.9516153765,-75.2033457223,4.0,46,0,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",,False,False,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",False,$11-$30 per person,True,Unknown,False,'casual',True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",True,False,False,True,True,False,True,True,Unknown,average,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",False,u'no',False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",,,,,Unknown,,,,True,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",full_bar,,,,,,True,East Asian,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,Philadelphia,PA,19104,39.9516153765,-75.2033457223,4.0,46,0,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",,False,False,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",False,$11-$30 per person,True,Unknown,False,'casual',True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",True,False,False,True,True,False,True,True,Unknown,average,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",False,u'no',False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",,,,,Unknown,,,,True,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",full_bar,,,,,,True,East Asian,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,Philadelphia,PA,19104,39.9516153765,-75.2033457223,4.0,46,0,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",,False,False,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",False,$11-$30 per person,True,Unknown,False,'casual',True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",True,False,False,True,True,False,True,True,Unknown,average,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",False,u'no',False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",,,,,Unknown,,,,True,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",full_bar,,,,,,True,East Asian,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,Philadelphia,PA,19104,39.9516153765,-75.2033457223,4.0,46,0,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",,False,False,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",False,$11-$30 per person,True,Unknown,False,'casual',True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",True,False,False,True,True,False,True,True,Unknown,average,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",False,u'no',False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",,,,,Unknown,,,,True,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",full_bar,,,,,,True,Asian Fusion,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,Philadelphia,PA,19104,39.9516153765,-75.2033457223,4.0,46,0,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",,False,False,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",False,$11-$30 per person,True,Unknown,False,'casual',True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",True,False,False,True,True,False,True,True,Unknown,average,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",False,u'no',False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",,,,,Unknown,,,,True,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",full_bar,,,,,,True,Southeast Asian,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
